fore,Lo95,Lo80,Actual,PointForecast,Hi80,Hi95
Jan-18,-366520.8,175119.3,1794724.6,1198301.82,2221484,2763124
Feb-18,155413.6,787712.2,3485123,1982152.66,3176593,3808892
Mar-18,227216.5,859515.1,2295075.5,2053955.56,3248396,3880695
Apr-18,-1032970.1,-400671.5,1016534.8,793768.9,1988209,2620508
May-18,-1798238.7,-1165940.1,86138.3,28500.34,1222941,1855239
Jun-18,-1768222.1,-1135923.6,1494420,58516.88,1252957,1885256
Jul-18,-1789021.3,-1156722.7,456952.5,37717.72,1232158,1864457
Aug-18,-1667581,-1035282.4,952049.5,159158.06,1353599,1985897
Sep-18,-1001079.3,-368780.7,647366,825659.78,2020100,2652399
Oct-18,-225808.2,406490.4,1211284.8,1600930.81,2795371,3427670
Nov-18,3999412.2,4631710.8,1891088.25,5826151.23,7020592,7652890
Dec-18,1962270.2,2594568.7,2355878.2,3789009.2,4983450,5615748
